year,event,description,dynasty,importance,image_url,category
618,唐朝建立,李渊在太原起兵，建立唐朝,唐朝,5,tang_dynasty.jpg,政治
630,贞观之治,唐太宗李世民开创的政治清明、经济繁荣的治世,唐朝,5,zhenguan.jpg,政治
755,安史之乱,安禄山、史思明叛乱，唐朝由盛转衰,唐朝,5,an_shi.jpg,军事
868,世界最早印刷书籍,《金刚经》是世界上现存最早的印刷书籍,唐朝,4,diamond_sutra.jpg,文化
907,朱温篡唐,朱温篡夺唐朝政权，建立后梁，唐朝灭亡,五代十国,4,zhu_wen.jpg,政治
960,宋朝建立,赵匡胤陈桥兵变，黄袍加身，建立宋朝,宋朝,5,song_dynasty.jpg,政治
1127,靖康之耻,金兵攻陷开封，俘虏宋徽宗、宋钦宗，北宋灭亡,宋朝,5,jingkang.jpg,军事
1234,蒙古灭金,蒙古军队攻陷蔡州，金朝灭亡,金朝,4,mongol_conquest.jpg,军事
1271,元朝建立,忽必烈建立元朝，定都大都（今北京）,元朝,5,yuan_dynasty.jpg,政治
1368,朱元璋建立明朝,朱元璋推翻元朝统治，建立明朝,明朝,5,ming_dynasty.jpg,政治
1405,郑和下西洋,明成祖派郑和率领庞大船队出使西洋,明朝,5,zheng_he.jpg,政治
1421,紫禁城建成,明永乐年间建成的皇家宫殿，是中国古代宫廷建筑的杰出代表,明朝,4,forbidden_city.jpg,文化
1644,清朝入关,清军攻入北京，明朝灭亡，清朝建立全国政权,清朝,5,qing_dynasty.jpg,政治
1840,鸦片战争爆发,英国对中国发动的侵略战争，中国开始沦为半殖民地半封建社会,清朝,5,opium_war.jpg,军事
1900,八国联军侵华,八个帝国主义国家联合出兵侵略中国,清朝,4,eight_nation.jpg,军事
1911,辛亥革命,以孙中山为首的革命党人发动武装起义，推翻清朝统治,中华民国,5,xinhai.jpg,政治
1921,中国共产党成立,中国共产党第一次全国代表大会在上海召开,中华民国,5,cpc_founding.jpg,政治
1937,抗日战争全面爆发,七七事变后，中国全面抗击日本侵略,中华民国,5,anti_japanese_war.jpg,军事
1949,中华人民共和国成立,毛泽东在北京天安门广场宣布中华人民共和国成立,中华人民共和国,5,prc_founding.jpg,政治
1978,改革开放,中国共产党十一届三中全会确立改革开放政策,中华人民共和国,5,reform_opening.jpg,政治
2001,中国加入世贸组织,中国正式成为世界贸易组织成员,中华人民共和国,4,wto.jpg,经济
2008,北京奥运会,第29届夏季奥林匹克运动会在北京举行,中华人民共和国,4,beijing_olympics.jpg,文化
